status,Accept.,I..low.state.,I..high...low.,S.N,Nb.d,tau_on.median..s.,tau_off.median..s.,tau_on.max..s.,tau_off.max..s.,tau_on_CV,tau_off_CV
Methylated,N,2.382385537,244.9264653,2.554507197,20,2.4,39.2,33.2,133.6,1.653332073,0.916207801
Methylated,Y,-8.629787277,272.8568484,2.565146631,17,13.6,53.2,30.4,139.2,0.783321216,0.761431569
Methylated,N,58.0332149,NA,NA,0,NA,600,NA,600,NA,0
Methylated,Y,2.183316226,167.8485954,2.25094086,26,6,16.2,100,159.6,1.890967076,1.351944695
Methylated,Y,-13.9828034,236.4418118,1.994229183,14,4,66.8,56.4,102.8,1.6475529,0.532998909
Methylated,N,31.99501081,289.4396359,2.262679712,14,4.8,30.6,42.8,209.6,1.033182492,1.180793738
Methylated,N,-38.87479375,325.9126408,4.566958462,6,4.4,105.2,39.6,315.6,1.372811887,0.914806098
Methylated,N,-54.25380983,NA,NA,0,NA,600,NA,600,NA,0
Methylated,Y,4.950607155,445.4439701,2.418123091,20,10.4,30,76.4,137.6,1.341684009,1.114726505
Methylated,N,18.23677142,NA,NA,0,NA,600,NA,600,NA,0
Methylated,N,18.81072256,331.6210327,2.660587617,11,5,37,84,270,1.380835199,1.450075298
Methylated,N,47.07158567,261.5199221,1.612690226,8,17.6,40,54.8,360,1.168365045,1.448740713
Methylated,N,112.1997775,248.9829846,1.82711116,8,20.6,61.6,94,268.8,1.144580763,1.144888686
Methylated,N,-8.757079947,NA,NA,0,NA,600,NA,600,NA,0
Methylated,N,21.11278643,526.1178463,3.472563282,17,4,22,157.6,116,2.08041765,1.113214974
Methylated,N,18.13415581,312.1043308,1.979581554,20,2.2,26,91.6,229.2,2.106270184,1.521711365
Methylated,N,49.1506844,277.6343234,1.891782331,12,12.2,24.8,44.4,253.6,1.062184801,1.25365658
Methylated,Y,27.440413,333.7375153,2.312594628,8,65.2,40,128,194.8,0.977080217,1.175987435
Methylated,N,295.4266903,444.1292284,2.255768507,14,14.4,22.4,53.6,218.4,0.902442164,1.348349564
Methylated,N,71.45152946,289.3410549,2.155835484,20,6.2,16.8,118.8,132.8,2.003476624,1.26367114
Methylated,Y,-15.38682318,298.727948,2.131037022,25,3.6,23.6,79.2,67.2,1.64227577,0.645504092
Methylated,N,26.72631615,312.5018482,2.188895075,7,35.2,118.6,79.6,196.4,1.112942054,0.704692144
Methylated,Y,-17.10428265,322.4489963,2.955756032,15,3.8,48,43.2,171.6,1.399600868,0.88745367
Methylated,N,70.45924287,399.4248103,2.126112993,2,220,190,220,314,0,0.92296043
Methylated,N,25.33776235,384.393079,2.69044935,4,152.8,119.2,296.4,170.4,1.329064578,0.863989427
Methylated,N,15.46279765,370.5448559,2.090210576,4,58,81.6,99.6,330,1.014332486,0.905839037
Methylated,N,112.7752582,493.4910261,3.115798456,22,4,21,181.2,90,2.484156895,0.898048562
Methylated,Y,10.66395882,151.6489481,2.218074732,20,8.2,32.4,64,146.4,1.233342942,1.029886705
Methylated,Y,44.33874737,464.1072923,2.499294414,11,51.8,26.4,140.8,88.8,0.762550278,0.879627645
Methylated,Y,34.79125712,369.7433172,3.272875468,24,5.6,13.6,114,89.6,1.585795151,1.112254072
Methylated,N,26.8908751,337.0567188,2.072598069,7,81.4,49.2,180.4,153.2,0.983264926,1.017618393
Methylated,Y,177.6175399,582.5567907,2.554832401,12,5.6,63.2,99.6,116.4,1.427241963,0.727406029
Methylated,Y,118.318685,470.2212539,2.895648765,17,13.2,12,135.2,87.2,1.190026191,1.066033887
Methylated,Y,15.41618871,214.1172703,2.427710798,22,3.2,34.8,76.8,113.6,1.958418459,0.959358143
Methylated,Y,-35.04349619,200.5069668,2.950759852,22,10.4,27.6,30.8,115.2,0.903635567,0.982704823
Methylated,Y,24.31340806,423.0002953,2.460045009,24,11.2,18.8,28.4,120,0.759406411,0.961576322
Methylated,N,3.127692089,267.5788264,1.991414847,7,27.8,97.6,90.8,230.4,1.054896618,0.757925668
Methylated,Y,380.234178,471.366712,3.065797382,22,12,14.2,142.8,92.4,1.536482148,1.126415194
Methylated,Y,10.12814027,370.8062343,2.886210846,18,19.2,15.2,83.6,190.8,1.070546374,1.502517024
Methylated,N,-33.10539579,NA,NA,0,NA,600,NA,600,NA,0
Methylated,Y,65.29270355,341.7736287,1.988284243,20,3.8,26,48.4,108.8,1.254935813,0.989915552
Methylated,Y,92.39729242,285.008302,2.429409994,16,6.4,40.4,43.6,129.6,1.131535226,0.865904716
Methylated,N,-0.053011394,290.2892274,2.122170583,18,1.2,20.8,92.8,118,1.825869337,1.003758477
Methylated,Y,53.91777602,317.5890142,2.33125438,16,8.2,42.8,66,111.6,1.098537209,0.778024421
Methylated,N,14.29812388,341.7509749,2.712589982,10,7.2,32.4,280,134.8,1.929839655,0.952890804
Methylated,N,-19.95276456,NA,NA,0,NA,600,NA,600,NA,0
Methylated,N,-30.17030568,NA,NA,0,NA,600,NA,600,NA,0
Methylated,N,-47.01567138,NA,NA,0,NA,600,NA,600,NA,0
Methylated,Y,0.942407474,383.4746905,2.712042561,23,4.8,13.6,61.6,122.8,1.668434296,1.1709805
Methylated,N,6.487592127,318.6784484,1.889115092,4,94.8,74.8,189.2,325.6,1.408246417,1.218456523
Methylated,Y,14.62880096,390.4642565,2.007974444,11,37.2,50.2,90.4,124.8,0.812411053,0.614677163
Methylated,Y,-68.31071428,158.3958925,1.874357342,10,10,90,46,183.2,0.983864905,0.736084868
Methylated,N,346.8803842,720.7319275,3.327720379,45,4.8,6.8,112.4,62.4,1.999171685,1.347890362
Methylated,Y,13.9884075,207.739299,2.720036914,8,22,79.2,44,203.6,1.006485476,0.669200525
Methylated,N,-3.165278617,217.2942816,2.047399004,35,2.2,19.6,26.8,104,1.383412975,0.893967332
Methylated,N,-15.72672833,257.5319752,1.56789198,9,12,67.2,100.4,254.8,1.384369473,1.035536487
Methylated,Y,107.734539,184.863168,1.888890192,22,10,27,62.8,102.8,1.25418709,0.879915832
Methylated,N,-26.74630703,NA,NA,0,NA,600,NA,600,NA,0
Methylated,Y,12.31620681,285.9417945,1.931557972,22,14,27.2,116,82.4,1.581185609,0.773081486
Methylated,Y,229.9157894,496.9731112,2.635858184,30,11.2,24.6,48.4,51.2,0.930709557,0.719428211
Methylated,N,-7.881454005,482.710626,2.045176654,3,110.4,189.6,214.4,190.8,1.332230167,0.008950719
Methylated,Y,70.47353723,408.8736896,2.030785035,24,17,16.8,72,68,0.94371529,0.906693809
Methylated,Y,-36.56180274,156.0140949,2.354147954,14,21.6,27.8,124.4,134.4,1.138248171,1.118047063
Methylated,N,11.14952185,172.4005723,2.396110037,20,1.6,21.6,50.8,188.8,1.506003228,1.24582944
Methylated,Y,-7.418561148,318.9201184,2.299314573,14,10.4,41.4,122,152.8,1.656783319,0.881764792
Methylated,Y,-6.994579841,199.2644544,2.02413575,27,5,23.4,53.6,102,1.441425685,0.914525082
Methylated,N,-3.825762063,185.2055792,2.238846495,14,7.2,25.4,55.2,262.4,1.128081514,1.49252837
Methylated,Y,47.96936604,239.0038558,2.205156091,20,4.6,23.6,60.4,162.8,1.364388964,1.270436491
Methylated,N,198.6452384,485.7449765,2.83513168,26,1.2,20.6,48.4,192.4,1.923066102,1.432058973
Methylated,Y,147.7827437,460.0514628,2.381945209,12,28.2,26.4,114.4,146.8,1.139139041,0.990264211
Methylated,N,57.29555382,183.5669446,2.02499546,16,19.8,10.8,56.8,238.4,0.724823398,1.690622629
Methylated,N,7.363277001,484.1126463,3.622274434,10,18,35.8,137.2,205.2,1.501583465,1.069691605
Methylated,N,40.12745165,354.4125258,2.127681899,6,46,115.8,83.6,229.2,0.961478152,1.030364764
Methylated,Y,-11.57728395,180.9101857,2.224825827,20,7.4,9.2,61.6,163.6,1.273260199,1.393438971
Methylated,N,-34.311403,317.858721,2.636459117,8,12.2,88.4,22.8,220.4,0.772073353,0.77660651
Methylated,Y,166.923154,523.0792259,2.796619304,30,10.8,14.2,52,124.8,0.91255067,1.343588748
Methylated,N,-15.93745973,224.796257,1.625281128,6,42,81.2,50,316.8,0.330741078,1.230312558
Methylated,Y,42.53050536,294.278017,2.539111188,14,42.4,22.6,87.2,195.2,0.935920698,1.457034999
Methylated,Y,125.8924154,539.6206254,2.564434254,14,13.2,39.2,77.6,169.6,1.199550188,0.915325467
Methylated,Y,198.7535808,474.7318038,2.245214186,26,11.6,22.6,52.4,73.6,0.977518613,0.84834722
Methylated,Y,73.38757998,345.2948901,2.668750085,28,14.4,10.8,72,76.8,1.060826595,1.084679132
Methylated,Y,59.18685656,365.1884246,2.252364918,35,4,12.2,39.6,104.8,1.36786377,1.378509169
Methylated,N,11.80299613,158.3008448,2.070649173,14,2.8,39.8,125.6,172,2.238107272,0.89909233
Methylated,N,72.82696532,362.8653791,2.795939416,4,42.8,133.2,84.8,369.2,1.387779664,1.059381406
Methylated,Y,12.35632576,155.5553642,2.189472824,20,15.4,28.4,80.4,88.8,1.096915561,0.848335185
Methylated,Y,52.43045872,385.3288823,1.801396821,14,8.4,54,28,134,0.98684683,0.604178301
Methylated,Y,82.50793308,343.9280653,1.856061256,20,15.4,25.6,54.4,108.8,0.964039115,0.791253461
Methylated,N,131.3209127,509.9876677,2.159727494,7,44.2,119.4,58,190.4,0.574404621,0.743665555
Methylated,N,43.9606045,295.5288514,2.014884893,9,33.6,29.2,63.6,286,0.597969922,1.337121676
Methylated,N,255.1735805,341.7602457,1.791062963,12,17,14.4,58.4,238.8,0.806357011,1.484914609
Methylated,Y,91.90694999,445.7412214,3.259231359,19,18.4,10.4,139.2,123.6,1.214987924,1.651933034
Methylated,Y,30.029656,386.9111072,2.24220409,12,16.2,33.6,107.6,113.6,1.204734477,0.832336214
Methylated,N,156.1909884,501.3980317,1.998296401,6,4.8,80.2,116.8,305.6,1.597560968,1.082407679
Methylated,Y,130.548956,586.6181311,2.480935226,10,42.8,44.8,107.2,120.8,0.868607283,0.884076608
Methylated,N,6.239956435,469.9537283,3.505590299,38,2.4,13.2,62,133.6,2.159709957,1.330327855
Methylated,Y,179.7895913,444.0589743,2.33570058,12,20.2,38.8,64,165.6,0.918169477,1.011198284
Methylated,Y,105.5754389,484.5343293,2.704995872,26,7.6,11.6,108.8,83.6,1.307847199,1.068610154
Methylated,Y,173.8761845,404.3156608,2.540222739,8,117.4,16.8,143.6,136.8,0.636173154,1.304163191
Methylated,Y,81.1152067,530.5914728,3.022194115,30,12,14.4,31.2,84,0.706070985,0.947004944
Methylated,N,-8.270984402,274.2056133,1.355314161,2,70,265,70,346.8,0,0.436538375
Methylated,Y,189.2277366,470.7149049,2.661095815,16,11,22.4,114.8,127.6,1.430025095,0.974491094
Methylated,N,-3.282002933,403.8039864,1.829955608,4,136.6,109.6,212.8,182.8,0.78889512,0.68117117
Methylated,N,4.873282607,371.2735885,1.952141684,8,6.6,60.8,303.6,122,1.88346859,0.814884721
Methylated,Y,16.91393803,231.1612559,1.831308157,12,3,70.8,39.2,190.8,1.405023325,0.893937912
Methylated,N,105.6787595,305.0687815,1.647615701,6,61.6,80.6,86,240,0.308927636,0.992823872
Methylated,Y,16.60085806,346.8146154,1.862446435,10,6.8,75.4,41.2,176.4,1.211677872,0.841915529
Methylated,N,20.18084292,529.3508133,2.827967061,8,40.6,36.4,166.4,237.6,1.188940704,1.369288386
Methylated,N,-64.23452134,NA,NA,0,NA,600,NA,600,NA,0
Methylated,N,90.80518065,409.1040242,2.705023924,10,7.2,22,190,262.8,1.731288443,1.633807066
Methylated,N,-48.11603825,236.7709715,2.545409827,4,38.2,94.8,74.8,389.2,1.354979486,1.076839509
